(54470718 (MOTOR 5.5.1))
(54483187 (ESTADO_PATRON_TOPEROL SI FALLOS_PIEZA 0))
(54484375 (TOTAL_PIEZAS 6014))
(54484625 (CENSO URB-ANDEN-LOSETA-GUIA-20X20 | AcDbLine 940))
(54484625 (CENSO URB-ANDEN-LOSETA-GUIA-20X20 | AcDbHatch 1))
(54484625 (CENSO URB-ANDEN-LOSETA-GUIA-20X20 | AcDbRegion 1))
(54484625 (CENSO URB-ANDEN-LOSETA-GUIA-20X20 | AcDbPolyline 3762))
(54484625 (CENSO URB-ANDEN-LOSETA-TOPEROL-20X20 | AcDbLine 531))
(54484625 (CENSO URB-ANDEN-LOSETA-TOPEROL-20X20 | AcDbHatch 2))
(54484671 (CENSO URB-ANDEN-LOSETA-TOPEROL-20X20 | AcDbRegion 1))
(54484671 (CENSO URB-ANDEN-LOSETA-TOPEROL-20X20 | AcDbPolyline 2))
(54484671 (CENSO URB-ANDEN-BLOQUE-BLANCO-20X10 | AcDbHatch 333))
(54484671 (CENSO URB-ANDEN-BLOQUE-BLANCO-20X10 | AcDbRegion 111))
(54484687 (CENSO URB-ANDEN-LOSETA-GRIS-20X20 | AcDbHatch 220))
(54484687 (CENSO URB-ANDEN-LOSETA-GRIS-20X20 | AcDbRegion 110))
(54484687 FIN)
