== BARRIDO DE PRECIOS CONTRA IDU 2026-I ==
modo: simulacion

A) se alinean al IDU (coincidencia fiable y MISMA unidad) : 186
   efecto en el presupuesto                               : 195499443
B) coincidencia fiable pero UNIDAD DISTINTA (no se tocan)  : 19
C) marcados REVISAR por estar muy lejos del IDU (no se tocan): 227
   efecto si se aplicaran                                 : -10917608070
D) sin referencia IDU utilizable                           : 905

== A) LOS 30 QUE MAS MUEVEN (se aplican) ==
fila	actividad	UM	cantidad	VU libro	VU IDU	delta
1188	excavacion mecanica	M3	24054.2	79829	94195	345554189
1242	Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)	M3	5936.25	79829	117926	226151247
1224	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	4195.45	112219	58471	-225497736
1088	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	4195.45	112219	58471	-225497736
1004	Construcción de caja de inspección doble norma CS276	UN	113	5770200	3981431	-202130897
1111	Jardineria	M2	2501.04	65000	122393	143542189
1108	Relleno Manual Tierra Negra X 30CM	M3	6209.81	90000	111152	131349948
998	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	707.44	464651	649111	130494382
1090	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	2015.15	292451	230570	-124700085
1226	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	2015.15	292451	230570	-124700085
1008	Suministro cable 3x185 mm² Al XLPE 15 kV	ML	1325.76	307400	229288	-103557765
681	Cargue, transporte y disposición de sobrantes	M3	1465.13	56603	117926	89845862
1075	Piedra rajón (mejoramiento subrasante)	M3	2263.69	144708	182509	85569351
1238	Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking	ML	390.14	1682020	1478460	-79416898
1178	Caja de desague h=1 m, incluye marco y tapa	UN	72	1200000	2291728	78604416
222	Suministro y colocación de triturado 3/4	M3	2687.39	149873	178829	77816688
1225	Relleno para redes en arena de peña	M3	1090.62	252750	182185	-76959155
1089	Relleno para redes en arena de peña	M3	1090.62	252750	182185	-76959155
1170	Relleno con mezcla de gravilla de 3/4" y arena de rio	M3	819.89	135000	223097	72230279
1285	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.	UN	4	117421118	102171257	-60999444
800	RELLENO EN ARENA DE PEÑA	M3	746.76	110000	182185	53905157
1140	Mejoramiento en rajon 0,25m	M3	523.83	95000	191937	50778024
1107	Relleno Material seleccionado(montañas)	M3	2537.84	67000	48122	-47909334
1071	Subbase granular SBG (sello subrasante)	M3	754.55	120348	182509	46903304
997	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	552.32	347042	276443	-38993240
994	Relleno y compactación con base granular clase B	M3	646.92	309998	255369	-35340593
1169	Relleno en arena peña	M3	422.45	110000	182185	30494334
970	Tee Ø12" × Ø12"	UN	12	2550360	5065423	30180756
1322	MAT - Concreto industrializado 4000 psi	M3	207.25	650000	795461	30146792
631	Suministro tubería PVC presión Ø8"	ML	396.8	228864	160366	-27179871

== B) UNIDAD DISTINTA: hay que mirarlos a mano ==
fila	actividad	UM libro	UM IDU	VU libro	VU IDU
707	Suministro tubería PVC flexible Ø12"	UN	ML	941853	533659
1070	Subbase granular SBG	M3	M2	120348	77671
46	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	11840	21674
1069	Arena de nivelación	M3	M2	150120	114489
794	ACCESORIOS 1"	UND	ML	16250	30750
1041	Sardinel prefabricado A-10 (material)	UN	ML	38000	65944
1100	Suministro sardinel bajo A-85 para rampa	UN	ML	55000	61413
1099	Suministro sardinel alto A-86 para rampas	UN	ML	60000	65944
1052	M.O. instalación de subbase granular SBG	M3	M2	51178	77671
1050	Subbase granular SBG (suministro)	M3	M2	51170	77671
42	Suministro y construcción de remate de rampa en concreto fundido en sitio	M2	UN	87656	167920
45	Suministro y colocación de geotextil Tejido 2100	M2	UN/MES	10972	21674
2	Demolición de pavimento asfáltico (Incluye cargue, transporte y disposición final)	M2	M3	29182	43555
3	Demolición de concreto hidráulico (Incluye cargue, transporte y disposición final)	M2	M3	49443	64547
125	Flecha de frente - Pintura acrílica	M2	UN	27800	50521
171	Ceda el paso para ciclorruta - Pintura acrílica	M2	UN	27800	17772
692	Demolición y reposición de andén	M2	UN	212000	297218
141	Ceda el paso para vehiculos - Pintura acrílica	M2	UN	27800	17772
170	Pictograma de bicicleta - Pintura acrílica	M2	UN	27800	17772

== C) LOS 40 'REVISAR' QUE MAS PLATA MUEVEN ==
fila	actividad	UM	cant	VU libro	VU IDU	delta	bandera	con que empato en el IDU
831	LIMPIEZA DE LODOS	GL	7	1050000000	380000	-7347340000	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)	EQUIPO DE PRESION - SUCCION - SONDEO - LIMPIEZA - RECOLECCIÓN DE LODOS NO PELIGROSOS (No incluye agua).
1106	Subabase granular SBG-B	M3	33786.68	217337	77671	-4718851022	REVISAR: MUY POR ENCIMA de IDU	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
679	Excavación mecánica en material común	M3	33363.76	79829	5998	-2463291482	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
1281	Suministro de Tubería GRP 92"	ML	243.19	8710876	438466	-2011767393	REVISAR: MUY POR ENCIMA de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
715	Instalación tubería PVC flexible Ø12"	ML	3394.37	42702	533659	1666490975	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
240	Suministro e instalación de sumidero	UN	115	14543853	230595	-1646024697	REVISAR: MUY POR ENCIMA de IDU	MARCO REJILLA SUMIDERO LATERAL 100 X 65 (SUMINISTRO E INSTALACIÓN)
1092	Transporte y disposición final de escombros (21 km)	M3	4453.7	69249	355050	1272872554	REVISAR: MUY POR DEBAJO de IDU	DESCABECE DE PILOTES (INCLUYE COMPRESOR Y MARTILLO DEMOLEDOR, INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE ESCOMBROS EN SITIO AUTORIZADO A 21 KM.
1228	Transporte y disposición final de escombros (21 km)	M3	4453.7	69249	355050	1272872554	REVISAR: MUY POR DEBAJO de IDU	DESCABECE DE PILOTES (INCLUYE COMPRESOR Y MARTILLO DEMOLEDOR, INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE ESCOMBROS EN SITIO AUTORIZADO A 21 KM.
234	Suministro e instalación base, cono y tapa para pozo de inspección	UN	227	6292915	959614	-1210659246	REVISAR: MUY POR ENCIMA de IDU	CONO POZO INSPECCIÓN PREFABRICADO D= 1.20M X 0.60M E=0.10M H= 0.75M (INC. SUMINISTRO E INST. NO INC. ARO DE AJUSTE, ARO-TAPA Y TAPA)
642	Instalación tubería PVC presión Ø12"	ML	2337.53	30501	533659	1176146539	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
221	Suministro y colocación de recebo	M3	6917.37	101915	243625	980259064	REVISAR: MUY POR DEBAJO de IDU	MURETE CONTENEDOR DE ZONA VERDE H=0.60M A=0.40M. SUMINISTRO Y CONSTRUCCION. (INCLUYE SUMINISTRO Y COLOCACION DE RECEBO COMUN, GEOMEMBRANA DE POLIETILENO DE ALTA DENSIDAD (PEAD-HDPE) CON ESPESOR DE 30 MILS (0,75 MM) Y ACERO DE REFUERZO PARA ANCLAJE).
11	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3	12924.86	79829	5998	-954259717	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
231	Prueba de hermeticidad	ML	1135.11	15750	833000	927668530	REVISAR: MUY POR DEBAJO de IDU	PRUEBA DE HERMETICIDAD POR EL MÉTODO DE PRESIÓN POSITIVA CON AIRE PARA REDES DE ALCANTARILLADO - TRAMOS DE Ø 27" A Ø 40"
1244	Suministro de Tubería	ML	879.82	1038890	127982	-801431259	REVISAR: MUY POR ENCIMA de IDU	TUBERÍA HDPE 8" (SUMINISTRO E INSTALACIÓN)
1220	Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	ML	619.31	226252	1345327	693050262	REVISAR: MUY POR DEBAJO de IDU	CANALIZACION VIA PUBLICA NUEVE (9) DUCTOS PVC TIPO TDP 9Ø6"+2Ø3"
1084	Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	ML	619.31	226252	1345327	693050262	REVISAR: MUY POR DEBAJO de IDU	CANALIZACION VIA PUBLICA NUEVE (9) DUCTOS PVC TIPO TDP 9Ø6"+2Ø3"
226	Instalación de tubería de alcantarillado en concreto	PULG	837.92	4260	817846	681719640	REVISAR: MUY POR DEBAJO de IDU	TUBERIA CONCRETO D=24" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)
