actividades nivel 5: 1456
valor total nivel 5 hoy: 226264209876

== A) EFECTO DE APLICAR EL PRECIO IDU 2026 DONDE HAY REFERENCIA ==
bandera	actividades	valor actual	delta si se aplica IDU
ok	183	13538025155	-987206760
ok (vs INSUMO: IDU es solo material)	26	180501395	105960297
REVISAR: MUY POR DEBAJO de IDU	78	7880978972	17118129745
REVISAR: MUY POR ENCIMA de IDU	126	19504625567	-15642637462
REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)	9	7350098580	-7347436775
sin referencia	1034	177809980206	0

== B) MISMO NOMBRE, PRECIO DISTINTO (hay que unificar) ==
nombre	variantes	precios	precio IDU	bandera	propuesto	delta
grupos: 0 | delta total: 0

== C) FAMILIAS PARECIDAS CON PRECIO DISTINTO (revisar a mano) ==
familia	actividad	UM	VU libro	VU IDU	ratio	bandera	veces
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 1	%	12700139793.85	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 2	%	3665203923.61	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3	%	1733118405.57	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3A	%	195447152.15	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3B	%	2410679445.07	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4	%	801751985.66	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4A	%	410984926.96	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4B	%	1387833434.34	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4C	%	195223463.77	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4D	%	115374134.61	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4E	%	10913390535.84	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4F	%	528064742.65	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5	%	351491589	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5A	%	1427427914.61	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5B	%	266776874.69	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5C	%	301431583.46	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5D	%	512579428.99	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5E	%	1099229718.15	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5F	%	330894660.52	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5G	%	1056202179.71	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 7	%	4088359645.87	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8	%	4146250347.13	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8A	%	1909929188.63	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8B	%	1426172944.99	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8C	%	1308643446.73	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8D	%	343041214.91	0	0	sin referencia	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9	%	694632480.57	0	0	sin referencia	1
