actividades de nivel 5 leidas: 1456

== A) MISMO NOMBRE (normalizado) CON TEXTO O PRECIO DISTINTO ==
clave	variantes	precios	filas
base granular bg	Base granular BG | base granular BG	251774,33	100,283,302,320,436,455
comision topografica	Comision topografica | COMISION TOPOGRAFICA	12000000	1171,1237
planos record	Planos record | PLANOS RECORD	20000000	1218,1305
subtotal A: 3

== B) FAMILIAS PARECIDAS (mismas 2 primeras palabras) CON PRECIOS DISTINTOS ==
familia	actividad	UM	VU	veces
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 1	%	12700139793.85	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 2	%	3665203923.61	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3	%	1733118405.57	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3A	%	195447152.15	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 3B	%	2410679445.07	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4	%	801751985.66	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4A	%	410984926.96	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4B	%	1387833434.34	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4C	%	195223463.77	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4D	%	115374134.61	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4E	%	10913390535.84	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 4F	%	528064742.65	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5	%	351491589	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5A	%	1427427914.61	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5B	%	266776874.69	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5C	%	301431583.46	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5D	%	512579428.99	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5E	%	1099229718.15	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5F	%	330894660.52	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 5G	%	1056202179.71	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 7	%	4088359645.87	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8	%	4146250347.13	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8A	%	1909929188.63	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8B	%	1426172944.99	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8C	%	1308643446.73	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 8D	%	343041214.91	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9	%	694632480.57	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9A	%	1120996984.53	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9B	%	1038040215.43	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9C	%	904201859.64	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9D	%	1177106284.75	1
admin delegad	ADMIN DELEGAD + HON + REEMB SUBETAPA 9E	%	0	1
admin delegad	ADMIN DELEGAD + HON + REEMB GENERAL	%	85426423857.6	1
arcos metalicos	Arcos metalicos de microfutbol altura 1,80 x 2,5 ancho	UN	1815000	2
arcos metalicos	Arcos metalicos de futbol(incluyen malla)	UN	4950000	1
base granular	Base granular BG	M3	251774.33	12
base granular	base granular 0,20m idu	M3	236515	7
base granular	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	584902.67	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø12"-Ø16" (incluye aletas y solado)	UN	8500000	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø18"-Ø24" (incluye aletas y solado)	UN	12500000	1
cabezal descarga	Cabezal de descarga en concreto para tubería Ø8"-Ø10" (incluye aletas y solado)	UN	6000000	1
caja maniobra	Caja de maniobra pedestal de 5 vías ET512 Fig. 4	UN	106000000	1
caja maniobra	Caja de maniobra pedestal de 3 vías ET512 Fig. 1	UN	79500000	1
canalizacion banco	Canalización banco de ductos TDP PVC 8Ø3" EPM RS1-003	ML	603371.15	1
canalizacion banco	Canalización banco de ductos TDP PVC 7Ø3" EPM RS1-003	ML	445234.03	1
canalizacion banco	Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	ML	452504.52	1
canalizacion banco	Canalización banco de ductos TDP PVC 5Ø3" EPM RS1-003	ML	377075.97	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de acueducto)	ML	9010000	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de alcantarillado sanitario)	ML	12720000	1
carcamo placa	Cárcamo o placa de protección para tubería (Red de alcantarillado pluvial)	ML	800000	1
cinta senalizacion	Cinta de señalización	ML	508.01	3
cinta senalizacion	Cinta de señalización para red de media tensión	ML	1696	1
codo 11	Codo 11,25° Ø4"	UN	311640	1
codo 11	Codo 11,25° Ø6"	UN	527880	1
codo 11	Codo 11,25° Ø8"	UN	767440	1
codo 11	Codo 11,25° Ø12"	UN	1299560	1
codo 22	Codo 22,5° Ø6"	UN	737760	1
codo 22	Codo 22,5° Ø8"	UN	1071660	1
codo 22	Codo 22,5° Ø12"	UN	1815780	1
codo 45	Codo 45° Ø6"	UN	664620	1
codo 45	Codo 45° Ø8"	UN	965660	1
codo 45	Codo 45° Ø12"	UN	1635580	1
codo 90	Codo 90° Ø6"	UN	697480	1
codo 90	Codo 90° Ø8"	UN	1013360	1
codo 90	Codo 90° Ø12"	UN	1716140	1
colocacion emulsion	Suministro y colocación de Emulsión Asfáltica de Rompimiento Lento CRL-1 (Imprimación)	M2	3398.21	1
colocacion emulsion	Suministro y colocación de Emulsión Asfáltica de Rompimiento rápido CRR-2 (Riego de liga)	M2	4077.86	1
colocacion recebo	Suministro y colocación de recebo	M3	101915.14	5
colocacion recebo	Suministro y colocación de recebo B-200	M3	110000	7
construccion caja	Construcción de caja para válvulas de gas	UN	924678.07	1
construccion caja	Construcción de caja de inspección doble norma CS276	UN	5770200	1
construccion conexion	Construcción y conexión de acometida Ø1"	UN	1590000	1
construccion conexion	Construcción y conexión de acometida Ø2"	UN	2120000	1
construccion conexion	Construcción y conexión de acometida Ø3"	UN	2650000	1
construccion conexion	Construcción y conexión de acometida Ø4"	UN	3392000	1
construccion conexion	Construcción de conexión domiciliaria sanitaria Ø8"	UN	1272000	1
construccion contenedor	Suministro y construcción de contenedor de raíces (Dimensiones: 2,0x1,2m). Incluye tierra negra	UN	2442321.97	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo A (2,00x2,20)m	UN	4477590.28	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo B (1,50x2,20)m	UN	3358192.71	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo C (1,20x2,20)m	UN	2686554.17	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo D (0,84x4,20)m	UN	3590213.3	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo E (0,70x4,20)m	UN	2991844.42	1
construccion contenedor	Suministro y construcción de contenedor de raíces Tipo F (0,70x4,20)m	UN	2991844.42	1
construccion pozos	Construcción de pozos de lanzamiento	UN	541481565.4	1
construccion pozos	Construcción de pozos de salida	UN	398057499.4	1
construccion pozos	Construcción de pozos intermedios	UN	128990281.5	2
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 1	%	12700139793.85	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 2	%	3665203923.61	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3	%	1733118405.57	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3A	%	195447152.15	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 3B	%	2410679445.07	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4	%	801751985.66	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4A	%	410984926.96	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4B	%	1387833434.34	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4C	%	195223463.77	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4D	%	115374134.61	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4E	%	10913390535.84	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4F	%	528064742.65	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5	%	351491589	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5A	%	1427427914.61	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5B	%	266776874.69	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5C	%	301431583.46	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5D	%	512579428.99	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5E	%	1099229718.15	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5F	%	330894660.52	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5G	%	1056202179.71	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 7	%	4088359645.87	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8	%	4146250347.13	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8A	%	1909929188.63	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8B	%	1426172944.99	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8C	%	1308643446.73	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8D	%	343041214.91	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9	%	694632480.57	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9A	%	1120996984.53	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9B	%	1038040215.43	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9C	%	904201859.64	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9D	%	1177106284.75	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9E	%	0	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) GENERAL	%	85426423857.6	1
descargue acopio	Descargue y acopio de tubería en concreto	GB	12884.12	1
descargue acopio	Descargue y acopio de tubería	KG	64160.69	1
dren filtro	Dren filtro 100 mm(filtro frances)	ML	80000	3
dren filtro	Dren filtro 200 mm (filtro frances)	ML	110000	4
empate a	Empate a punto de conexión	UN	5000000	5
empate a	Empate a red existente Ø4"	UN	8480000	1
empate a	Empate a red existente Ø6"	UN	10600000	1
empate a	Empate a red existente Ø10"	UN	15900000	1
empate a	Empate a red existente Ø12"	UN	21200000	1
empate a	EMPATE A PUNTO DE CONEXIÓN (INCLUYE UNIONES DE REPARACION Y ACCESORIOS)	GB	50000000	1
