EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Acabado sintetico
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM UND ; ACCESORIOS 1"
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM UND ; ACCESORIOS 4"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Accesorios de conexión domiciliaria
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Acometida domiciliaria Ø1/2" con collar Ø4" y cajilla de medidor
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM M2 ; Acondicionamiento de acopio y campamentos(incluye servicios, logistica y seguridad para totalidad del proyecto)
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Actas de vecindad
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 01
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 02
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 03
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 04
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 05
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 07
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 08
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB ETAPA 09
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > ADMIN DELEGAD + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; ADMIN DELEGAD + HON + REEMB GENERAL
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM KG ; Alambre negro
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Alcantarilla rural con cabezales (descole)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Anclaje de concreto para accesorios
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Anillo en concreto prefabricado
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Apertura Fideicomiso
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Arboles 120 cm
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Arboles 80 cm
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Arcos metalicos de futbol(incluyen malla)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Arcos metalicos de microfutbol altura 1,80 x 2,5 ancho
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM MES ; Arqueologicos
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM GB ; ARREGLO LOTE 3 (DESMONTE CAMPAMENTO Y SALA DE VENTAS)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Bajante o transición en tubería conduit IMC Ø6"
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Bancas tipo idu en concreto(con espaldar)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Bancas tipo idu en concreto(sin espaldar)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Base de gravilla permeable para bioretenedor
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; base granular 0,20m idu
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM M3 ; Base granular clase B (BG38/BG25) para telecomunicaciones
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Base, foso de aceite, cerramiento y adecuación civil del centro de transformación
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Bicicletero enrollado (capacidad: 11 bicicletas)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ10A-PQ10B ; UM GB ; BIORETENEDORES
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Bordillo de confinamiento
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Cabezal de descarga en concreto para tubería Ø12"-Ø16" (incluye aletas y solado)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Caja convencional para válvula
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Caja de desague h=1 m, incluye marco y tapa
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM UN ; Caja de inspección prefabricada 0,80x0,80 m (incluye base, muros, cubierta y aros)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Caja de maniobra pedestal de 3 vías ET512 Fig. 1
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Caja de maniobra pedestal de 5 vías ET512 Fig. 4
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Caja estructural para válvula Ø12"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM M3 ; Cama y atraque en arena de peña
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Cámara de caída
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Cámara en concreto (Diám.>=36")
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM MES ; CAMPAMENTO DE OBRA - CONTENEDOR OFICINAS 12FT (1 UN - 6 MESES)
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM UN ; Campaña geotécnica
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM ML ; Canalización banco de ductos TDP PVC 5Ø3" EPM RS1-003
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM ML ; Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM ML ; Canalización banco de ductos TDP PVC 7Ø3" EPM RS1-003
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM ML ; Canalización banco de ductos TDP PVC 8Ø3" EPM RS1-003
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Canecas tipo idu
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Cañuela prefabricado
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM ML ; CARCAMO
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE TELECOMUNICACIONES (VOZ & DATOS) ; UM ML ; Cárcamo de protección de ductos ETB
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Cárcamo o placa de protección para tubería (Red de acueducto)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Cárcamo o placa de protección para tubería (Red de alcantarillado pluvial)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Cárcamo o placa de protección para tubería (Red de alcantarillado sanitario)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Celda MT SF6 17,5 kV - 630 A norma CTS508
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM GB ; CERRAMIENTO ANTIINVASION
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Cerramiento en tela para tramos de ejecucion para la totalidad del proyecto
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM M2 ; CERRAMIENTO POLISOMBRA
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; CERRAMIENTO PROVISIONAL EN POLISOMBRA H=2.20MTS
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Cinta de señalización
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Coberturas Zonas Verdes
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM MES ; Comision topografica
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Concreto 3000 psi
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Concreto 3000psi impermeabilzado
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Conexión especial Ø6" × Ø12"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM M3 ; Conformación de dique del reservorio con material del sitio
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; CONSTRUCCION CARRETEABLE ACCESO Y SALIDA DEL PROYECTO - ANCHO=5.00M (INC. MEJORAMIENTO DE RAJON E=0.45M Y SELLO EN MATERIAL SELECCIONADO E=0.20M)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Construcción de biofiltros
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE GAS ; UM UN ; Construcción de caja para válvulas de gas
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM UN ; Construcción de captación de aguas lluvias
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM ML ; Construcción de cárcamo de protección para red MT en cruce
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Construcción de conexión domiciliaria sanitaria Ø8"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Construcción de cuneta en concreto fundida en sitio
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM UN ; Construcción de pozos de lanzamiento
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM UN ; Construcción de pozos de salida
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM UN ; Construcción de pozos intermedios
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Construcción lavado de llantas
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Construcción y conexión de acometida Ø1"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Construcción y conexión de acometida Ø2"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Construcción y conexión de acometida Ø3"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Construcción y conexión de acometida Ø4"
