NIVEL1	NIVEL2	NIVEL3	NIVEL4	NIVEL5	ETAPA	SUBETAPA	EJECUTADO	DESEMBOLSADO	VR_TOTAL_ANT_BD	ACTA	CLASIFICACION	TERCERO	NIT	DESCRIPCION_ACTA	FECHA	ANO_ACTA	ESTADO	EJECUTADO_POR	NOTA
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	ALCALDIA MUNICIPAL DE SOACHA	GENERAL	GENERAL	411623448	411623448	411623448	1268	Urbanismo inicial Predial	ALCALDIA MUNICIPAL DE SOACHA	800094755	PAGO DE IMPUESTO PREDIAL	39995	2009			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	FERNANDO MAZUERA Y CIA S.A.	GENERAL	GENERAL	262160000	262160000	262160000	1268	Urbanismo inicial	FERNANDO MAZUERA Y CIA S.A.	860014917	2DOREEMBOLSO GASTOS-80% EL VINCULO URB MAIPORE	40210	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	MAZUERA VILLEGAS Y CIA S.A.	GENERAL	GENERAL	59100993	59100993	59100993	1268	Urbanismo inicial	MAZUERA VILLEGAS Y CIA S.A.	860028302	1ER REEMBOLSO GASTOS-80% EL VINCULO URB MAIPORE	40026	2009			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	TESORERIA MUNICIPAL	GENERAL	GENERAL	2312000	2312000	2312000	1268	Urbanismo inicial	TESORERIA MUNICIPAL	800094755	IMPUESTO DE ASEO	40360	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	80068418	80068418	80068418	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	ANTICIPO 3 OBRA SALA VENTA Y URBNISMO URB MAIPORE	40299	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	300000000	300000000	300000000	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	ANTICIPO 4 OBRA SALA VENTA Y URBNISMO URB MAIPORE	40299	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	800000000	800000000	800000000	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	ANTICIPO 4 OBRA SALA VENTA Y URBNISMO URB MAIPORE	40330	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	44640034	44640034	44640034	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	PAGO PROVEEDOR EQUIVALENTE AL 80%	40664	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	30209952	30209952	30209952	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	PAGO A PROVEEDOR COSTO INDIRECTO.	40664	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1268	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	9885155	9885155	9885155	1268	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900346413	PAGO A PROVEEDOR COSTO INDIRECTO.	40664	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	FIDEICOMI PA MZUERA V FID BANCOLOMBIA	GENERAL	GENERAL	1599574400	1599574400	1599574400	1280	Urbanismo inicial Predial	FIDEICOMI PA MZUERA V FID BANCOLOMBIA	830054539	PAGO IMPUESTO PREDIAL MAIPORE JUNIO 29.	40330	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	GASTOS GENERADOS POR MAIPORE	GENERAL	GENERAL	86576944	86576944	86576944	1280	Urbanismo inicial	GASTOS GENERADOS POR MAIPORE	860007336	GASTOS GENERADOS POR MAIPORE CON CORTE A FEBRERO 28,2011	40603	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	GASTOS GENERADOS POR MAIPORE	GENERAL	GENERAL	1533323851	1533323851	1533323851	1280	Urbanismo inicial	GASTOS GENERADOS POR MAIPORE		GASTOS GENERADOS POR MAIPORE CON CORTE A MARZO 30,2011	40634	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	GASTOS GENERADOS POR MAIPORE	GENERAL	GENERAL	701132263	701132263	701132263	1280	Urbanismo inicial	GASTOS GENERADOS POR MAIPORE	860007336	RETIRO VINCULO DE ACUERDO A MEMORANDO DV0-0996/11. GASTOS GENERADOS MAIPORE	40695	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	GASTOS GENERADOS POR MAIPORE	GENERAL	GENERAL	57678631	57678631	57678631	1280	Urbanismo inicial	GASTOS GENERADOS POR MAIPORE	860007336	GASTOS GENERADOS DE JUNIO 2011 A SEPTIEMBRE DE 2,011	40817	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	GASTOS GENERADOS POR MAIPORE	GENERAL	GENERAL	1438869695	1438869695	1438869695	1280	Urbanismo inicial	GASTOS GENERADOS POR MAIPORE	860007336	GASTOS GENERADOS POR MAIPORE CON CORTE A OCT 31,2010	40817	2011			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	800000000	800000000	800000000	1280	Urbanismo inicial	URBANIZADORA MAIPORE SAS	830054539	ANTICIPO TRABAJOS SALA DE VENTAS	40422	2010			
1 EJECUTADO	1. EJECUTADO ACTAS	1. ACTAS PREVIAS (1268 - 1280 - 1299 - 1305)	1280	URBANIZADORA MAIPORE SAS	GENERAL	GENERAL	383871326	383871326	383871326	1280	Urbanismo inicial	URBANIZADORA MAIPORE SAS	900,346,143	ANTICIPO OBRA	40513	2010			
