actividades con match IDU confiable (bandera ok): 183
delta total: -987206797
OJO, con unidad de medida DISTINTA a la del IDU: 29

== los 25 que mas mueven plata ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta
1118	2.5.3.2.3	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	M3	2015.15	584902.67	230570	-714032983
1116	2.5.3.2.1	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	M3	4195.45	224438.33	58471	-696307630
1117	2.5.3.2.2	Relleno para redes en arena de peña	M3	M3	1090.62	505499.11	182185	-352613025
961	2.4.3.1.1	Suministro tubería PVC flexible Ø12"	UN	ML	659	941852.76	533659	-268999685
535	2.3.3.1.3	excavacion mecanica	M3	M3	15867.6	79829.35	94195	227948369
1182	2.7.1.3.1	Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)	M3	M3	5936.25	79829.35	117926	226151247
1034	2.5.1.4.1	Construcción de caja de inspección doble norma CS276	UN	UN	113	5770200	3981431	-202130897
1027	2.5.1.3.2	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	ML	707.44	464651	649111	130494382
1040	2.5.1.5.3	Suministro cable 3x185 mm² Al XLPE 15 kV	ML	ML	1325.76	307400	229288	-103557765
102	2.2.2.6.3	Subbase granular SBG	M3	M2	2263.69	120348.37	77671	-96608335
685	2.3.4.1.3	excavacion mecanica	M3	M3	6372.6	79829.35	94195	91546534
104	2.2.2.6.5	Piedra rajón (mejoramiento subrasante)	M3	M3	2263.69	144708.17	182509	85569351
1177	2.7.1.2.4	Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking	ML	ML	390.14	1682020	1478460	-79416898
277	2.3.1.2.6	Jardineria	M2	M2	1230.39	65000	122393	70615773
1252	2.7.2.2.13	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.	UN	UN	4	117421118.12	102171257	-60999444
1187	2.7.1.3.6	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	5821.37	11840.49	21674	57244443
1331	2.9.1.2.2	RELLENO EN ARENA DE PEÑA	M3	M3	746.76	110000	182185	53905157
101	2.2.2.6.2	Subbase granular SBG (sello subrasante)	M3	M3	754.55	120348.37	182509	46903304
929	2.4.2.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	712.53	56603.21	117926	43694329
1241	2.7.2.2.2	Suministro y colocación de triturado 3/4	M3	M3	1375.14	149872.75	178829	39818892
1026	2.5.1.3.1	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	ML	552.32	347042	276443	-38993240
542	2.3.3.2.5	Jardineria	M2	M2	674	65000	122393	38682882
1183	2.7.1.3.2	Suministro y colocación de triturado 3/4	M3	M3	1312.25	149872.75	178829	37997796
1244	2.7.2.2.5	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	3804.3	11840.49	21674	37409634
427	2.3.2.2.3	Relleno Manual Tierra Negra X 30CM	M3	M3	1745.96	90000	111152	36930624

== TODAS, para revisar ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta	apu IDU
44	2.2.1.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	140.56	2836.97	1919	-129029	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
53	2.2.1.2.7	Arena de nivelación	M3	M2	5.62	150120	114489	-200246	PISO EN ADOQUIN DE ARCILLA 26X6X6CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM ARENA NIVELACIÓN Y ARENA DE SELLO)
58	2.2.1.3.4	M.O. instalación de bordillo prefabricado	ML	ML	39.03	41730.18	77801	1407844	BORDILLO PREFABRICADO A80 (SUMINISTRO E INSTALACIÓN. NO INCLUYE MATERIAL DE BASE)
65	2.2.1.5.1	Subbase granular SBG	M3	M2	70.28	120348.37	77671	-2999366	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
73	2.2.1.7.4	Suministro e instalación de protector de árbol de dos tubos Tipo M-91	UN	UN	0	328904.93	286851	0	PROTECTOR DE ARBOL DE DOS TUBOS TIPO M91 (INCLUYE SUMINISTRO E INSTALACIÓN. NO INCLUYE BASES)
74	2.2.1.7.5	Suministro y construcción de contenedor de raíces (Dimensiones: 2,0x1,2m). Incluye tierra negra	UN	UN	0	2442321.97	2059073	0	CONTENEDOR DE RAICES TIPO B23 (TIPO D) (2.00M X 2.00M X 1.40M). (INCLUYE FILTRO EN GRAVILLA, TIERRA NEGRA. SUMINISTRO Y CONSTRUCCIÓN).
75	2.2.1.7.6	Suministro y construcción de contenedor de raíces Tipo A (2,00x2,20)m	UN	UN	0	4477590.28	2059073	0	CONTENEDOR DE RAICES TIPO B23 (TIPO D) (2.00M X 2.00M X 1.40M). (INCLUYE FILTRO EN GRAVILLA, TIERRA NEGRA. SUMINISTRO Y CONSTRUCCIÓN).
83	2.2.2.1.1	Compactación de subrasante (Incluye nivelación)	M2	M2	7545.61	2836.97	1919	-6926608	NIVELACION Y COMPACTACIÓN DE SUBRASANTE
89	2.2.2.3.1	M.O. instalación de sardinel prefabricado	ML	ML	1106.86	41730.18	65944	26801310	SARDINEL PREFABRICADO ALTO RAMPAS A86 (SUMINISTRO E INSTALACIÓN. SIN MATERIAL DE BASE)
91	2.2.2.4.1	Suministro y colocación de Emulsión Asfáltica de Rompimiento Lento CRL-1 (Imprimación)	M2	M2	5838.38	3398.21	3721	1884545	IMPRIMACIÓN CON EMULSIÓN ASFÁLTICA CRL-1 (INCLUYE SUMINISTRO, BARRIDO DE SUPERFICIE Y RIEGO MECANICO).
92	2.2.2.4.2	Suministro y colocación de Emulsión Asfáltica de Rompimiento rápido CRR-2 (Riego de liga)	M2	M2	5838.38	4077.86	4114	211015	RIEGO DE LIGA CON EMULSION ASFALTICA CRR-2 (SUMINISTRO, BARRIDO SUPERFICIE Y RIEGO MECANICO)
100	2.2.2.6.1	Base granular BG	M3	M3	1509.13	251774.33	255369	5424827	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
