START
9
(READY 5.5.8)
(BLOCKS 8)
PROBE_BEGIN
(BLOCK_POLY 46F9 HANDLE 46FE LAYER URB-ANDEN ROLE  AREA 367.586 VERTS 537)
(BLOCK_POLY 46F9 HANDLE 4726 LAYER 0 ROLE EARTHWORK_BOUNDARY AREA 770.049 VERTS 537)
(BLOCK_POLY 46F9 HANDLE 4727 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4728 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4729 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 472A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 472B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 472C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 472D LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 472F LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4730 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4731 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4732 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4733 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4734 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4735 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4736 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4738 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4739 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473D LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473E LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 473F LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4741 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4742 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4743 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4744 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4745 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4746 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4747 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4748 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 474A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 474B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
