Obras preliminares generales	1	VU tecnico: el valor del 3,5% va en la cantidad
Suministro de cañuela prefabricada	95000	Analogo: Cañuela prefabricado 63.000/ML + margen alto
M.O. instalación de cañuela prefabricada	70000	Analogo: M.O. construccion cañuela 68.945/ML
Suministro y colocación de recebo B-200	110000	Analogos: recebo 101.915-102.398/M3, alto
Suministro pieza remate A-105 para rampa	95000	Analogo: Sum+inst A-105 115.543; solo suministro, alto
Suministro sardinel alto A-86 para rampas	60000	Analogo: Sum+inst A-86 75.530/ML; suministro pieza, alto
Suministro sardinel bajo A-85 para rampa	55000	Analogo: Sum+inst A-85 69.050/ML; suministro pieza, alto
Suministro sardinel especial A-100 para rampa	55000	Analogo: Sum+inst A-100 68.825/UN; suministro, alto
M.O. instalación pieza remate A-105	48000	Diferencial instalacion del Sum+inst A-105, alto
Reproceso de pintura	15000000	Bolsa global de reproceso, criterio alto
Suministro tubería y piezas especiales HD Ø12"	9200000	Escala desde HD Ø4" 339.200/ML (tubo 6 m, factor peso Ø12), alto
Instalación tubería y piezas especiales HD Ø12"	320000	Escala desde inst HD Ø4" 127.200/ML, alto
Suministro tubería PVC flexible Ø6"	340000	Escala desde Ø8" 448.152/UN hacia abajo con margen alto
Instalación tubería PVC flexible Ø6"	30000	Escala desde inst Ø8" 28.468/ML, alto
Cárcamo o placa de protección para tubería (Red de alcantarillado pluvial)	800000	Analogos ML: carcamo ETB 763.157, MT 596.971; alto
Excavación manual para bioswale/bioretenedor	115000	Analogo: exc manual redes 0-2m incl cargue 112.219/M3
Base de gravilla permeable para bioretenedor	150000	Analogo: gravilla filtro 135.000/M3, alto
Suministro y colocación de gravilla 10-15 mm (capa filtrante)	150000	Analogo: gravilla filtro 135.000/M3, alto
Suministro y colocación de gravilla 25-40 mm (capa drenante)	150000	Analogo: gravilla filtro 135.000/M3, alto
Relleno con material orgánico para bioretenedor	100000	Analogo: tierra negra 90.000/M3, alto
Tubería perforada PVC Ø6" para drenaje de bioswale	95000	Analogo: dren filtro frances 200mm 80.000/ML, alto
Rejilla de drenaje para bioswale	450000	Rejilla metalica de piso, mercado 2026 alto
Cabezal de descarga en concreto para tubería Ø12"-Ø16" (incluye aletas y solado)	8500000	Cabezal tipico cartilla (~2 m3 concreto + aletas), criterio alto
Construccion de camara de paso MT norma CS280	7500000	Analogo: CS276 5.742.982-5.770.200/UN; CS280 es mayor, alto
Suministro e instalación poste de concreto 14 m. Tipo recto AP  (Incluye ahoyada, hincada y plomada)	3500000	Analogo: poste 12m 2.478.929/UN + 40 por ciento, alto
