nombres repetidos en PRECIOS_UNITARIOS: 17
sobrecosto total por precios duplicados: 3377978258

desc	veces	filas	precios	VU que cobra el libro	VU correcto	cantidad	sobrecosto	precios iguales entre si
Cimentación de tubería en gravilla (cama y atraque)	2	1077,1200	149873 + 149873	299746	149873	3938.61	590290312	True
Base granular clase B (BG38/BG25) para telecomunicaciones	2	1090,1226	292451 + 292451	584903	292451	2015.15	589332897	True
Canalización banco de ductos TDP PVC 8Ø3" EPM RS1-003	2	1082,1218	301686 + 301686	603371	301686	1612.38	486432544	True
Excavación manual para redes profundidad 0-2 m (incluye cargue)	2	1088,1224	112219 + 112219	224438	112219	4195.45	470809893	True
Transporte y disposición final de escombros (21 km)	2	1092,1228	69249 + 69249	138498	69249	4453.7	308414518	True
Relleno para redes en arena de peña	2	1089,1225	252750 + 252750	505499	252750	1090.62	275653870	True
Sub-base granular clase C para telecomunicaciones	2	1091,1227	327919 + 327919	655838	327919	650.73	213386023	True
Cárcamo de protección de ductos ETB	2	1086,1222	763157 + 763157	1526314	763157	202.22	154328699	True
Canalización banco de ductos TDP PVC 6Ø3" EPM RS1-003	2	1084,1220	226252 + 226252	452505	226252	619.31	140119494	True
Caja de inspección prefabricada 0,80x0,80 m (incluye base, muros, cubierta y aros)	2	1087,1223	2861839 + 2861839	5723679	2861839	43.95	125777844	True
Canalización banco de ductos TDP PVC 5Ø3" EPM RS1-003	2	1085,1221	188538 + 188538	377076	188538	67.57	12739134	True
Canalización banco de ductos TDP PVC 7Ø3" EPM RS1-003	2	1083,1219	222617 + 222617	445234	222617	41.96	9341010	True
M.O. instalación de loseta guía y toperol	2	1076,1094	8232 + 8232	16464	8232	164.24	1352018	True
Construcción de captación de aguas lluvias	2	1079,1202	14543853 + 14543853	29087706	14543853	0	0	True
Conformación de dique del reservorio con material del sitio	2	1081,1204	23203 + 23203	46406	23203	0	0	True
Construcción de cuneta en concreto fundida en sitio	2	1078,1201	105000 + 105000	210000	105000	0	0	True
Alcantarilla rural con cabezales (descole)	2	1080,1203	37186137 + 37186137	74372274	37186137	0	0	True
