REVISION DE LOS 224 MARCADOS 'REVISAR' DEL BARRIDO IDU 2026-I   (2026-09-13, Claude)

CONCLUSION: NO se aplico ninguno. La mayoria son MALOS EMPATES del cruce
automatico por nombre, no diferencias reales de precio. Aplicarlos habria
sacado 12.883.530.887 del presupuesto sobre bases falsas.

Reparto:
  143 de los 224 tienen CANTIDAD 0 -> no mueven plata (solo importan a futuro)
   81 mueven plata

Por que fallan los empates (revisado uno a uno los 81):
  - COMPONENTE contra CONJUNTO: 'base, cono y tapa para pozo' empato con 'CONO
    POZO'; 'Suministro e instalacion de sumidero' empato con 'MARCO REJILLA
    SUMIDERO'. El IDU es una pieza, el libro es el elemento completo.
  - DIAMETRO DISTINTO: 'Tuberia GRP 92"' empato con 'TUBERIA GRP 300MM' (12").
  - NOMBRE GENERICO: 'Suministro de Tuberia', 'Concreto 3000 psi' -> el cruce
    los pega con cualquier cosa que comparta palabras.
  - INSUMO contra APU: 'LIMPIEZA DE LODOS' (global) empato con el alquiler del
    'EQUIPO DE PRESION-SUCCION'. Ratio 2.763 a 1.
  - DISPARATES: 'Transporte de tuberia en concreto' (KG) con 'TUBERIA GRP';
    'Transporte de escombros' con 'DESCABECE DE PILOTES'; 'recebo' con
    'MURETE CONTENEDOR DE ZONA VERDE'.

LO QUE SI VALE LA PENA MIRAR (inconsistencias internas del libro, no del IDU):

1. EXCAVACION MECANICA EN MATERIAL COMUN, mismo concepto y misma unidad (M3),
   con TRES precios distintos en el libro:
      f679    79829        Excavación mecánica en material común
      f11     79829        Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)
      f1167   79829        Excavacion mecanica material
      f12     79829        Excavación mecánica en material común (Incluye cargue, transporte y disposición interna)
   (y una cuarta fila ya quedo alineada al IDU en 94.195 con el barrido)
   Hay que decidir cual rige y unificarlas.

2. UNIDADES QUE NO TIENEN SENTIDO, revisar la unidad antes que el precio:
      f226    PULG   Instalación de tubería de alcantarillado en concreto
      f712    UN     Suministro tubería PVC flexible Ø30"
      f233    KG     Transporte de tubería en concreto
      f705    UN     Suministro tubería PVC flexible Ø8"
      f708    UN     Suministro tubería PVC flexible Ø14"
      f1294   UN     Suministro tubería PVC flexible Ø20"
      f250    KG     Alambre negro
      f706    UN     Suministro tubería PVC flexible Ø10"

3. Los 143 en cantidad cero: no urgen, pero si alguna vez se cargan cantidades
   heredan estos precios sin revisar.

LISTADO COMPLETO DE LOS 81 QUE MUEVEN PLATA
fila	actividad	UM	cantidad	VU libro	VU IDU	delta si se aplicara	bandera	con que empato en el IDU
831	LIMPIEZA DE LODOS	GL	7	1050000000	380000	-7347340000	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)	EQUIPO DE PRESION - SUCCION - SONDEO - LIMPIEZA - RECOLECCIÓN DE LODOS NO PELIGROSOS (No incluye agua).
1106	Subabase granular SBG-B	M3	33786.68	217337	77671	-4718851022	REVISAR: MUY POR ENCIMA de IDU	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT
679	Excavación mecánica en material común	M3	33363.76	79829	5998	-2463291482	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
1281	Suministro de Tubería GRP 92"	ML	243.19	8710876	438466	-2011767393	REVISAR: MUY POR ENCIMA de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
240	Suministro e instalación de sumidero	UN	115	14543853	230595	-1646024697	REVISAR: MUY POR ENCIMA de IDU	MARCO REJILLA SUMIDERO LATERAL 100 X 65 (SUMINISTRO E INSTALACIÓN)
234	Suministro e instalación base, cono y tapa para pozo de inspección	UN	227	6292915	959614	-1210659246	REVISAR: MUY POR ENCIMA de IDU	CONO POZO INSPECCIÓN PREFABRICADO D= 1.20M X 0.60M E=0.10M H= 0.75M (INC. SUMINISTRO E INST. NO INC. ARO DE AJUSTE, ARO-TAPA Y TAPA)
11	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3	12924.86	79829	5998	-954259717	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
1244	Suministro de Tubería	ML	879.82	1038890	127982	-801431259	REVISAR: MUY POR ENCIMA de IDU	TUBERÍA HDPE 8" (SUMINISTRO E INSTALACIÓN)
712	Suministro tubería PVC flexible Ø30"	UN	86	5951739	1070516	-419785212	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=30" (INCLUYE SUMINISTRO E INSTALACIÓN)
1114	Concreto 3000 psi	M3	890.81	560000	107810	-402815623	REVISAR: MUY POR ENCIMA de IDU	TALÓN EN CONCRETO DE 3000 PSI (SUMINISTRO E INSTALACIÓN).
791	TUBERIA PVC-RDE21 4"	ML	1646.4	228893	46152	-300864782	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC SANITARIA D=4" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
