NOMBRE_LIBRO	VU_LIBRO	MATCH_IDU	TIPO	UM_IDU	VU_IDU	RATIO	BANDERA
LIMPIEZA DE LODOS	1050000000.0	EQUIPO DE PRESION - SUCCION - SONDEO - LIMPIEZA - RECOLECCIÓN DE LODOS NO PELIGROSOS (No incluye agua).	INSUMO	HR	380000.0	2763.16	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)
Grano de caucho reciclado	296861.779806465	GRANO DE CAUCHO RECICLADO (GCR)	INSUMO	KG	3000.0	98.95	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)
Manejo y agotamiento de aguas	848000.0	MANEJO DE AGUAS (INCLUYE MOTOBOMBA CON COMBUSTIBLE Y OPERADOR)	APU	HR	12135.0	69.88	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de sumidero	14543853.2322303	MARCO REJILLA SUMIDERO LATERAL 100 X 65 (SUMINISTRO E INSTALACIÓN)	APU	UN	230595.0	63.07	REVISAR: MUY POR ENCIMA de IDU
"Válvula 2,1/2"""	1972963.95020208	"UNION PVC TIPO U.M. D= 2 1/2"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	32223.0	61.23	REVISAR: MUY POR ENCIMA de IDU
"Tapón Ø1"""	98580.0	"TAPON PVC SOLDADO D=1"""	INSUMO	UN	1805.0	54.61	REVISAR: MUY POR ENCIMA de IDU (vs INSUMO: IDU es solo material)
"Tubería NOVAFORT 4"" Hex (4,5-5,5)m"	2188284.0878249	"TUBERIA PVC D=4"" TIPO U.M. RDE 32.5 (SUMINISTRO E INSTALACIÓN)"	APU	ML	54140.0	40.42	REVISAR: MUY POR ENCIMA de IDU
Construcción de captación de aguas lluvias	14543853.2322303	CONSTRUCCIÓN CANALETA DE AGUAS LLUVIAS DE 0.4 X 0.4 MT EN CONCRETO DE 3000 PSI GRAVA COMÚN INCLUYE REJILLA PREFABRICADA.	APU	ML	372429.0	39.05	REVISAR: MUY POR ENCIMA de IDU
"Tapón Ø2"""	227900.0	"TAPON DE PRUEBA PVC SANITARIA D=2"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	UN	6016.0	37.88	REVISAR: MUY POR ENCIMA de IDU
Cárcamo o placa de protección para tubería (Red de acueducto)	9010000.0	"CARCAMO PROTECCIÓN DE TUBERÍA Ø 8"" (TIPO PLACA) NORMA EAAB NS-090"	APU	ML	254780.0	35.36	REVISAR: MUY POR ENCIMA de IDU
"Construcción y conexión de acometida Ø4"""	3392000.0	ACOMETIDA EN CONDUCTORES DE COBRE, (5 NO. 4) AWG, AISLADOS PARA 600 V C.A. INCLUYE CONDUCTORES, CONEXIONES, ACCESORIOS DE MONTAJE, ELEMENTOS DE CONEXIÓN Y DE MARCACIÓN. (INCLUYE SUMINISTRO E INSTALACIÓN)	APU	ML	98251.0	34.52	REVISAR: MUY POR ENCIMA de IDU
"Caja estructural para válvula Ø12"""	37100000.0	"CONSTRUCCIÓN DE CAJA PARA VALVULA D= 10"", D= 12"" DE 0.5M X0.6M H=2.0M (INCLUYE TAPA VÁLVULA DE SEGURIDAD)."	APU	UN	1116245.0	33.24	REVISAR: MUY POR ENCIMA de IDU
"Tubería NOVAFORT 6"" Hex (5,5-6,5)m"	2648124.08395604	"TUBERIA PVC D=6"" TIPO U.M. RDE 32.5 (SUMINISTRO E INSTALACIÓN)"	APU	ML	106141.0	24.95	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 630 kVA, 11,4 kV / 208-120 V	153700000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 45 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	6694730.0	22.96	REVISAR: MUY POR ENCIMA de IDU
Codo 22,5° según diámetro	1060000.0	"CODO G.RAD. PVC 22.5° TIPO U.M. D=2"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	47973.0	22.10	REVISAR: MUY POR ENCIMA de IDU
"Suministro de Tubería GRP 92"""	8710876.02	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.	APU	ML	438466.0	19.87	REVISAR: MUY POR ENCIMA de IDU
Demolición de pozos de inspección (Incluye cargue, transporte y disposición final)	848000.854594823	DEMOLICION PAVIMENTO ASFALTICO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	APU	M3	43555.0	19.47	REVISAR: MUY POR ENCIMA de IDU
