ML muy alto: 18.417.889  'PIPEJACKING' [ML] (PIPEJACKING)
UN muy bajo: 1.168  'Bloque de cemento gris 10x20x6 (adoquín, material)' [UN] (ANDENES Y RAMPAS (CC MONGUI 06-2026))
UN muy bajo: 2.336  'Bloque de cemento 20x20x6 alerta (material)' [UN] (ANDENES Y RAMPAS (CC MONGUI 06-2026))
UN muy bajo: 2.447  'Bloque de cemento 20x20x6 guía (material)' [UN] (ANDENES Y RAMPAS (CC MONGUI 06-2026))
UN muy bajo: 1.168  'Adoquín gris 10x20x6' [UN] (MATERIALES UNIFICADOS (ESTUDIO SUELOS))
UN muy bajo: 2.336  'Loseta toperol 20x20x6' [UN] (MATERIALES UNIFICADOS (ESTUDIO SUELOS))
UN muy bajo: 2.447  'Loseta guía 20x20x6' [UN] (MATERIALES UNIFICADOS (ESTUDIO SUELOS))
UN muy bajo: 2.336  'Loseta lisa 20x20x6' [UN] (MATERIALES UNIFICADOS (ESTUDIO SUELOS))
M3 muy bajo: 5.152  'Descapote con botadero certificado' [M3] (PL3)
UN muy bajo: 1.000  'Separadores losa' [UN] (PL3)
M3 muy bajo: 5.152  'Relleno en arena peña' [M3] (PL3)
KG muy alto: 64.161  'Descargue y acopio de tubería' [KG] (CABEZAL DE DESCARGA)
