red|concepto|um = cantidad total (todo el dibujo)
ELECTRICA-BT-AP|Suministro e instalación de luminaria LED LED|UN = 603.00
ELECTRICA-BT-AP|Suministro e instalación poste de concreto Tipo recto AP|UN = 16.00
ELECTRICA-MT|Construcción de cámara de paso MT norma CS280|UN = 5.00
ELECTRICA-MT|Construcción de caja de inspección doble norma CS276|UN = 286.00
ACUEDUCTO|OTRO 6|UN = 1.00
ACUEDUCTO|OTRO 4|UN = 3.00
ACUEDUCTO|TEE 2|UN = 16.00
ACUEDUCTO|CODO_45 |UN = 4.00
ACUEDUCTO|CODO_11_5 3|UN = 2.00
ACUEDUCTO|CODO_45 4|UN = 2.00
ACUEDUCTO|CODO_45 6|UN = 6.00
ACUEDUCTO|CODO_11_5 4|UN = 5.00
ACUEDUCTO|CODO_11_5 6|UN = 10.00
ACUEDUCTO|TEE 3|UN = 7.00
ACUEDUCTO|CODO_22_5 12|UN = 1.00
ACUEDUCTO|REDUCCION 6|UN = 1.00
ACUEDUCTO|TEE 6|UN = 12.00
ACUEDUCTO|CODO_22_5 4|UN = 2.00
ACUEDUCTO|CODO_90 4|UN = 1.00
ACUEDUCTO|TAPON 6|UN = 3.00
ACUEDUCTO|CODO_22_5 6|UN = 8.00
ACUEDUCTO|OTRO 8|UN = 2.00
ACUEDUCTO|OTRO |UN = 5.00
ACUEDUCTO|CODO_90 8|UN = 3.00
ACUEDUCTO|TAPON 3|UN = 6.00
ACUEDUCTO|TAPON 2|UN = 15.00
ACUEDUCTO|TAPON 8|UN = 5.00
ACUEDUCTO|CODO_90 |UN = 3.00
ACUEDUCTO|CODO_90 6|UN = 1.00
ACUEDUCTO|TEE 4|UN = 5.00
ACUEDUCTO|REDUCCION 3|UN = 6.00
ACUEDUCTO|TEE 12|UN = 40.00
ACUEDUCTO|CODO_22_5 |UN = 3.00
ACUEDUCTO|CODO_90 12|UN = 7.00
ACUEDUCTO|TAPON 12|UN = 8.00
ACUEDUCTO|CODO_11_5 |UN = 21.00
ACUEDUCTO|CODO_45 8|UN = 22.00
ACUEDUCTO|CODO_11_5 8|UN = 22.00
ACUEDUCTO|TEE 8|UN = 31.00
ACUEDUCTO|CODO_22_5 8|UN = 17.00
ACUEDUCTO|REDUCCION 8|UN = 8.00
ACUEDUCTO|CODO_45 12|UN = 12.00
ACUEDUCTO|OTRO 12|UN = 2.00
ACUEDUCTO|CODO_11_5 12|UN = 20.00
ACUEDUCTO|REDUCCION 2|UN = 14.00
ACUEDUCTO|REDUCCION 12|UN = 11.00
ACUEDUCTO|TAPON 4|UN = 2.00
ACUEDUCTO|REDUCCION 4|UN = 2.00
ACUEDUCTO|REDUCCION |UN = 15.00
ACUEDUCTO|TAPON |UN = 23.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE 3|UN = 1.00
ACUEDUCTO|HIDRANTE_TORRE 3|UN = 1.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE 6|UN = 3.00
ACUEDUCTO|HIDRANTE_TORRE 6|UN = 3.00
ACUEDUCTO|HIDRANTE_TORRE 4|UN = 5.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE 12|UN = 15.00
ACUEDUCTO|HIDRANTE_TORRE 12|UN = 15.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE 8|UN = 7.00
ACUEDUCTO|HIDRANTE_TORRE 8|UN = 7.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE |UN = 43.00
ACUEDUCTO|HIDRANTE_TORRE |UN = 43.00
ACUEDUCTO|VALVULA_RED_MENOR 6|UN = 4.00
ACUEDUCTO|VALVULA_VENTOSA 6|UN = 2.00
ACUEDUCTO|VALVULA_VENTOSA 8|UN = 6.00
ACUEDUCTO|VALVULA_RED_MENOR 12|UN = 11.00
ACUEDUCTO|VALVULA_RED_MENOR 8|UN = 20.00
ACUEDUCTO|VALVULA_RED_MENOR |UN = 13.00
ACUEDUCTO|VALVULA_VENTOSA 12|UN = 4.00
ACUEDUCTO|VALVULA_VENTOSA |UN = 13.00
ACUEDUCTO|VALVULA_PIE_HIDRANTE 4|UN = 5.00
ACUEDUCTO|VALVULA_CIERRE_PERMANENTE 8|UN = 1.00
ACUEDUCTO|VALVULA_CIERRE_PERMANENTE |UN = 1.00
ACUEDUCTO|VALVULA_CIERRE_PERMANENTE 12|UN = 2.00
ACUEDUCTO|TEE |UN = 64.00
ALC-PLUVIAL|Sumidero|UN = 115.00
ALC-PLUVIAL|Base de pozo de inspeccion|UN = 242.00
ALC-PLUVIAL|Canuela y acabado interior de pozo|UN = 242.00
ALC-PLUVIAL|Cono de reduccion para pozo|UN = 242.00
ALC-PLUVIAL|Marco y tapa de pozo|UN = 242.00
ALC-SANITARIO|Anillo cilindro prefabricado de pozo|ML = 15791.55
ALC-SANITARIO|Base de pozo de inspeccion|UN = 150.00
ALC-SANITARIO|Canuela y acabado interior de pozo|UN = 150.00
ALC-SANITARIO|Cono de reduccion para pozo|UN = 150.00
ALC-SANITARIO|Marco y tapa de pozo|UN = 150.00
ELECTRICA-BT-AP|Suministro e instalación de tuberia 1 3 TDP|ML = 8238.85
ELECTRICA-BT-AP|Suministro e instalación de tuberia 3 3 TDP|ML = 88.16
ELECTRICA-BT-AP|Suministro e instalación de tuberia 2 3 TDP|ML = 7709.54
ELECTRICA-BT-AP|Suministro e instalación de cable 3x4+4 THW|ML = 16036.55
ELECTRICA-MT|Suministro cable 3x185 mm2 Al XLPE 15 kV|ML = 3560.61
ELECTRICA-MT|Tendido, conexionado e identificación cable 3x185 mm2 Al XLPE 15 kV|ML = 3560.61
ELECTRICA-MT|Suministro e instalación de banco de ductos PVC-TDP 6Ø6|ML = 6453.38
ELECTRICA-MT|Suministro cable |ML = 2892.77
ELECTRICA-MT|Tendido, conexionado e identificación cable |ML = 2892.77
ELECTRICA-MT|Excavación para canalización MT, incluye cargue|M3 = 5558.39
ELECTRICA-MT|Relleno en arena limpia para protección de ductos|M3 = 1541.40
ELECTRICA-MT|Relleno y compactación con base granular clase B|M3 = 3310.68
ELECTRICA-MT|Transporte y disposición final de sobrantes|M3 = 1259.50
ELECTRICA-MT|Reposición de pavimento, andén o zona dura afectada|M2 = 5531.83
ELECTRICA-MT|Cinta de señalización para red de media tensión|ML = 6453.38
ELECTRICA-MT|Limpieza, mandrilado y verificación de ductos MT|ML = 38720.28
ACUEDUCTO|Instalacion tuberia PVC 2|ML = 109.79
ACUEDUCTO|Suministro tuberia PVC 2|UN = 21.00
ACUEDUCTO|Instalacion tuberia PVC |ML = 1228.24
ACUEDUCTO|Suministro tuberia PVC |UN = 238.00
ACUEDUCTO|Instalacion tuberia HD 12|ML = 64.48
ACUEDUCTO|Suministro tuberia HD 12|UN = 15.00
ACUEDUCTO|Instalacion tuberia HD 4|ML = 2.10
ACUEDUCTO|Suministro tuberia HD 4|UN = 1.00
ACUEDUCTO|Instalacion tuberia PVC 6|ML = 506.10
ACUEDUCTO|Suministro tuberia PVC 6|UN = 102.00
ACUEDUCTO|Instalacion tuberia PVC 4|ML = 50.68
ACUEDUCTO|Suministro tuberia PVC 4|UN = 15.00
ACUEDUCTO|Instalacion tuberia PVC 3|ML = 75.62
ACUEDUCTO|Suministro tuberia PVC 3|UN = 17.00
ACUEDUCTO|Instalacion tuberia PVC 12|ML = 2409.04
ACUEDUCTO|Suministro tuberia PVC 12|UN = 452.00
ACUEDUCTO|Instalacion tuberia PVC 8|ML = 1818.36
ACUEDUCTO|Suministro tuberia PVC 8|UN = 346.00
ACUEDUCTO|Excavacion mecanica en material comun|M3 = 3199.45
ACUEDUCTO|Cargue transporte y disposicion de sobrantes|M3 = 401.91
