ID	RED	ETAPA	SUBETAPA	COTA_TERRENO	COTA_CLAVE	PROF_A_CLAVE	DIAMETRO_M	ALTURA_TOTAL	RANGO
51	Alluvias	4	4D	2556.02	2555.26	0.76	1.14	2.10	2,00 - 3,00
120	Alluvias	5	5B	2557.45	2556.50	0.95	0.30	1.46	0,00 - 2,00
131	Alluvias	5	5B	2558.50	2557.66	0.84	0.30	1.34	0,00 - 2,00
121	Alluvias	5	5B	2560.27	2559.76	0.51	0.30	1.01	0,00 - 2,00
87	Alluvias	1	1	2572.72	2568.86	3.86	0.30	4.37	4,00 - 5,00
40	Alluvias	5	5D	2571.17	2568.97	2.20	1.14	3.54	3,00 - 4,00
03	Alluvias	5	5D	2573.37	2569.44	3.93	1.14	5.28	mas de 5,00
119	Alluvias	5	5A	2556.87	2556.32	0.55	0.30	1.05	0,00 - 2,00
117	Alluvias	5	5A	2559.32	2559.01	0.31	0.30	0.82	0,00 - 2,00
118	Alluvias	5	5A	2558.09	2557.69	0.40	0.20	0.80	0,00 - 2,00
DOM01	Aresidual	9	9A	2560.05	2557.63	2.42	0.20	2.83	2,00 - 3,00
DOM02	Aresidual	9	9A	2556.40	2557.08	-0.68	0.20	-0.27	0,00 - 2,00
DOM03	Aresidual	9	9A	2560.86	2557.09	3.77	0.20	4.17	4,00 - 5,00
DOM04	Aresidual	9	9A	2561.67	2556.71	4.96	0.20	5.37	mas de 5,00
DOM05	Aresidual	9	9C	2564.42	2556.47	7.95	0.20	8.35	mas de 5,00
DOM06	Aresidual	8	8A	2562.12	2559.31	2.80	0.20	3.21	3,00 - 4,00
DOM07	Aresidual	8	8A	2560.91	2558.25	2.66	0.20	3.06	3,00 - 4,00
DOM08	Aresidual	8	8A	2559.06	2555.22	3.84	0.20	4.24	4,00 - 5,00
DOM09	Aresidual	8	8A	2565.56	2563.01	2.55	0.20	2.96	2,00 - 3,00
DOM16	Aresidual	7	7	2550.50	2548.73	1.77	0.20	2.17	2,00 - 3,00
DOM19	Aresidual	7	7	2549.85	2547.97	1.88	0.20	2.28	2,00 - 3,00
DOM26	Aresidual	5	5A	2558.98	2558.05	0.93	0.20	1.34	0,00 - 2,00
DOM27	Aresidual	5	5A	2556.50	2555.07	1.43	0.20	1.83	0,00 - 2,00
DOM34	Aresidual	5	5F	2564.65	2563.17	1.48	0.20	1.88	0,00 - 2,00
DOM35	Aresidual	5	5F	2563.38	2561.65	1.73	0.20	2.14	2,00 - 3,00
DOM36	Aresidual	4	4E	2559.40	2556.59	2.81	0.20	3.22	3,00 - 4,00
DOM37	Aresidual	5	5D	2566.56	2564.46	2.09	0.20	2.50	2,00 - 3,00
DOM38	Aresidual	5	5G	2564.71	2562.25	2.46	0.20	2.87	2,00 - 3,00
DOM39	Aresidual	5	5G	2562.40	2560.74	1.66	0.20	2.06	2,00 - 3,00
DOM40	Aresidual	4	4D	2560.99	2558.63	2.36	0.20	2.76	2,00 - 3,00
DOM41	Aresidual	4	4D	2561.30	2558.58	2.72	0.15	3.07	3,00 - 4,00
DOM42	Aresidual	4	4D	2558.27	2556.22	2.05	0.20	2.45	2,00 - 3,00
DOM43	Aresidual	4	4D	2558.42	2556.18	2.24	0.20	2.65	2,00 - 3,00
DOM44	Aresidual	5	5D	2568.98	2566.57	2.41	0.20	2.81	2,00 - 3,00
DOM45	Aresidual	5	5E	2566.67	2564.93	1.74	0.20	2.15	2,00 - 3,00
DOM46	Aresidual	5	5F	2564.69	2562.90	1.79	0.20	2.20	2,00 - 3,00
DOM47	Aresidual	4	4E	2563.14	2561.36	1.78	0.20	2.18	2,00 - 3,00
DOM48	Aresidual	8	8D	2567.92	2566.14	1.78	0.20	2.18	2,00 - 3,00
DOM52	Aresidual	5	5F	2559.98	2557.63	2.35	0.20	2.76	2,00 - 3,00
DOM53	Aresidual	3	3B	2580.10	2568.09	12.01	0.20	12.41	mas de 5,00
DOM54	Aresidual	8	8C	2574.91	2567.49	7.42	0.20	7.82	mas de 5,00
DOM55	Aresidual	8	8B	2570.88	2566.76	4.12	0.20	4.53	4,00 - 5,00
DOM56	Aresidual	8	8B	2567.65	2563.98	3.67	0.20	4.07	4,00 - 5,00
TRAT-01	Aresidual	7	7	2550.23	2548.12	2.11	0.20	2.51	2,00 - 3,00
TRAT-05	Aresidual	7	7	2551.00	2547.51	3.49	0.20	3.89	3,00 - 4,00
TRAT-08	Aresidual	7	7	2550.89	2547.24	3.65	0.20	4.06	4,00 - 5,00
DOM28	Aresidual	4	4B	2554.56	2552.85	1.71	0.20	2.11	2,00 - 3,00
DOM29	Aresidual	4	4A	2553.62	2552.60	1.01	0.20	1.42	0,00 - 2,00
DOM30	Aresidual	4	4C	2553.06	2550.00	3.06	0.20	3.46	3,00 - 4,00
01	Aresidual	9	9A	2557.36	2556.78	0.58	0.20	0.99	0,00 - 2,00
02	Aresidual	9	9A	2558.16	2556.23	1.93	0.20	2.33	2,00 - 3,00
03	Aresidual	9	9A	2559.16	2555.86	3.30	0.20	3.70	3,00 - 4,00
