CATEGORIA	NOMBRE_LIBRO	UM	VU_LIBRO	MATCH_IDU	UM_IDU	VU_IDU	RATIO	PUNTAJE	BANDERA
CIMENTACIÓN REDES HIDROSANITARIAS	Excavación manual en material común (No incluye cargue, transporte ni disposición)	M3	52405.9326346062	EXCAVACIÓN MANUAL EN MATERIAL COMÚN (INCL CARGUE, TRANSPORTE Y DISPOSICION FINAL)	M3	117926	0.44	0.82	BARATO frente a IDU
CIMENTACIÓN REDES HIDROSANITARIAS	Cargue y retiro externo de sobrantes de la excavación manual	M3	56603.2078892225					0.55	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Cargue y retiro interno de sobrantes de la excavación manual	M3	17231.1564401149					0.55	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Relleno con arena de peña	M3	182185					0.55	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Suministro y colocación de recebo	M3	101915.14034583					0.5	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Suministro y colocación de triturado 3/4	M3	178829	RELLENO EN TRITURADO DE 3/4`` (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN)	M3	178829	1	0.6	ok
CIMENTACIÓN REDES HIDROSANITARIAS	Suministro e instalación de subbase granular tipo B-400	M3	134047	RELLENO PARA REDES EN SUBBASE GRANULAR B-400 (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)	M3	134047	1	0.57	ok
CIMENTACIÓN REDES HIDROSANITARIAS	Instalación de Tubería de acueducto PVC	PULG	2541.76357140814					0	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Instalación de tubería de alcantarillado	PULG	3558.4689999714					0	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Instalación de tubería de alcantarillado en concreto	PULG	4260.40765318736					0	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Entibado para excavaciones <=3m	M2	51958.7110402116					0.29	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Entibado para excavaciones >3m	M2	125356.271004673					0.29	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Cinta de señalización	ML	1094					0.5	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Prueba hidrostática para tubería (Incluye desinfección)	ML	19893.1469227118					0.29	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Prueba de hermeticidad	ML	15750.1036971938					0.08	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Inspección con cámara para tubería	ML	12681.4681444941					0.33	sin referencia
CIMENTACIÓN REDES HIDROSANITARIAS	Transporte de tubería en concreto	KG	48.526501205385					0.12	sin referencia
RED DE ACUEDUCTO	Tapón 1,1/2"	UN	35024.7209400227					0.4	sin referencia
RED DE ACUEDUCTO	Tapón 2"	UN	85211.5118993448					0.4	sin referencia
RED DE ACUEDUCTO	Tapón 2,1/2"	UN	135510.113878592					0.4	sin referencia
RED DE ACUEDUCTO	Tapón 4"	UN	293052.33051294					0.4	sin referencia
RED DE ACUEDUCTO	Atraques	UN	285243.395656796					0	sin referencia
RED DE ACUEDUCTO	Válvula 1,1/2"	UN	1358452.50588645					0.4	sin referencia
RED DE ACUEDUCTO	Válvula 2"	UN	1501208.7730039					0.4	sin referencia
RED DE ACUEDUCTO	Válvula 2,1/2"	UN	1972963.95020208					0.4	sin referencia
RED DE ACUEDUCTO	Válvula 4"	UN	2729315					0.4	sin referencia
RED DE ACUEDUCTO	Estación reguladora de presión 12"	UN	234756286.667175					0.24	sin referencia
RED DE ACUEDUCTO	Hidrante 6"	UN	15270446.77672					0.25	sin referencia
RED DE ACUEDUCTO	Conexión a red existente de acueducto Ø6"x12"	UN	9652085.9915016					0.22	sin referencia
RED DE ACUEDUCTO	Conexión a red existente de acueducto Ø8"x12"	UN	9652085.9915016					0.22	sin referencia
RED DE ACUEDUCTO	Retiro de red existente PVC Ø=6"	ML	4106.74837852167					0.4	sin referencia
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería tubería PVC 1/2" RDE 13.5	ML	4134.46761771406	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	0.16	0.83	BARATO frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería tubería PVC 3/4" RDE 21	ML	10115	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	0.38	1	BARATO frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería tubería PVC 1" RDE 21	ML	12748	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	0.48	1	BARATO frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 1,1/2" RDE 21	ML	20615	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	0.77	0.91	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 2" RDE 21	ML	26617	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	1	0.91	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 2,1/2" RDE 21	ML	36526	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	1.37	0.91	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 3" RDE 21	ML	59868	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	2.25	0.91	caro frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 4" RDE 21	ML	76083	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	2.86	0.91	caro frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 6" RDE 21	ML	151759	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	5.7	0.91	caro frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 8" RDE 21	ML	250672	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	9.42	0.91	caro frente a IDU
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 10" RDE 21	ML	390190	TUBERIA PVC D=10" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	390190	1	0.92	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 12" RDE 21	ML	533659	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	533659	1	0.92	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 14" RDE 21	ML	641522	TUBERIA PVC D=14" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	641522	1	0.92	ok
SUMINISTRO RED DE AGUA POTABLE PVC	Suministro de tubería PVC 16" RDE 21	ML	820509.544142494	TUBERIA PVC D=2" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)	ML	26617	30.83	0.83	caro frente a IDU
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4"	ML	46152					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6"	ML	93174					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8"	ML	127982					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10"	ML	109091.120690274					0.5	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12"	ML	301911					0.5	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14"	ML	435500					0.5	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16"	ML	287734.464354453					0.5	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18"	ML	315153					0.36	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20"	ML	403869					0.36	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24"	ML	817846					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 27"	ML	991864					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 30"	ML	1478460					0.36	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 33"	ML	1319889.89419942					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 36"	ML	1512469					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 39"	ML	2463439.93090011					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 42"	ML	2892054.3723368					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 45"	ML	3148427.08599886					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 48"	ML	2515311					0.4	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 51"	ML	4422808.78477127					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 54"	ML	4656058.04331286					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 57"	ML	4862069.79933104					0.33	sin referencia
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 60"	ML	3580389					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (0-1,5)m	ML	283197.659320344					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (1,5-2,5)m	ML	539250.453178088					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (2,5-3,5)m	ML	832557.383336259					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (3,5-4,5)m	ML	1757702.48243337					0.33	sin referencia
