CATEGORIA	NOMBRE_LIBRO	UM	VU_LIBRO	MATCH_IDU	UM_IDU	VU_IDU	RATIO	PUNTAJE	BANDERA
DEMOLICIONES	Demolición de pavimento asfáltico (Incluye cargue, transporte y disposición final)	M2	29181.9620105862	DEMOLICION PAVIMENTO ASFALTICO (ESPESOR VARIABLE. INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M2	8838	3.3	0.82	caro frente a IDU
DEMOLICIONES	Demolición de concreto hidráulico (Incluye cargue, transporte y disposición final)	M2	49442.6218483126	DEMOLICIÓN PISOS DE CONCRETO (ESPESOR VARIABLE HASTA 0.10 M. INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M2	9583	5.16	0.63	caro frente a IDU
DEMOLICIONES	Demolición de andenes (Incluye cargue, transporte y disposición final)	M2	15574.3834654349	DEMOLICION PAVIMENTO ASFALTICO (ESPESOR VARIABLE. INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M2	8838	1.76	0.62	ok
DEMOLICIONES	Demolición manual de sardinel existente (Incluye cargue, transporte y disposición final)	ML	8176	DEMOLICION MANUAL SARDINEL EXISTENTE (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	ML	8176	1	0.94	ok
DEMOLICIONES	Demolición y reposición de calzada en pavimento flexible (Incluye estructura de pavimentos)	M2	494220.416756838					0.5	sin referencia
DEMOLICIONES	Demolición y reposición de andenes (Incluye estructura de pavimentos)	M2	432761.412610333					0.22	sin referencia
DEMOLICIONES	Implementación de Plan de manejo de tránsito (Incluye señalización)	ML	100612.152505191					0.18	sin referencia
EXCAVACIONES Y RELLENOS	Descapote mecánico de material vegetal (Incluye cargue y retiro externo)	M2	7348.93268485577					0.46	sin referencia
EXCAVACIONES Y RELLENOS	Compactación de subrasante (Incluye nivelación)	M2	1919	NIVELACION Y COMPACTACIÓN DE SUBRASANTE	M2	1919	1	1	ok
EXCAVACIONES Y RELLENOS	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3	117926	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	M3	5998	19.66	0.77	caro frente a IDU
