NOMBRE_LIBRO	VU_LIBRO	MATCH_IDU	TIPO	UM_IDU	VU_IDU	RATIO	BANDERA
Demolición de pavimento asfáltico (Incluye cargue, transporte y disposición final)	29181.9620105862	DEMOLICION PAVIMENTO ASFALTICO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	APU	M3	43555.0	0.67	ok
Demolición de concreto hidráulico (Incluye cargue, transporte y disposición final)	49442.6218483126	DEMOLICIÓN PISOS DE CONCRETO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	APU	M3	64547.0	0.77	ok
Demolición de andenes (Incluye cargue, transporte y disposición final)	15574.3834654349	DEMOLICION PAVIMENTO ASFALTICO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	APU	M3	43555.0	0.36	REVISAR: MUY POR DEBAJO de IDU
Demolición manual de sardinel existente (Incluye cargue, transporte y disposición final)	16651.2504136125	DEMOLICION MANUAL SARDINEL EXISTENTE (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	APU	ML	8176.0	2.04	ok
Demolición y reposición de calzada en pavimento flexible (Incluye estructura de pavimentos)	494220.416756838	(sin par IDU claro)					sin referencia
Demolición y reposición de andenes (Incluye estructura de pavimentos)	432761.412610333	(sin par IDU claro)					sin referencia
Implementación de Plan de manejo de tránsito (Incluye señalización)	100612.152505191	(sin par IDU claro)					sin referencia
Descapote mecánico de material vegetal (Incluye cargue y retiro externo)	7348.93268485577	(sin par IDU claro)					sin referencia
Compactación de subrasante (Incluye nivelación)	2836.96528475516	NIVELACION Y COMPACTACIÓN DE SUBRASANTE	APU	M2	1919.0	1.48	ok
Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
Excavación mecánica en material común (Incluye cargue, transporte y disposición interna)	79829.3512	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)	APU	M3	5998.0	13.31	REVISAR: MUY POR ENCIMA de IDU
Relleno con material seleccionado proveniente de la excavación	23203.0077192135	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)	APU	M3	48122.0	0.48	ok
Suministro e instalación de base granular BG-A	251774.327954005	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)	APU	M3	255369.0	0.99	ok
Suministro e instalación de subbase granular SBG-A	223251.402045504	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.87	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de sello en subbase granular SBG-A	223251.402045504	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.87	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de base granular BG-B	236515.277774975	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)	APU	M3	255369.0	0.93	ok
Suministro e instalación de subbase granular SBG-B	217337.457620457	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.80	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de sello en subbase granular SBG-B	217337.457620457	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.80	REVISAR: MUY POR ENCIMA de IDU
