ORIGEN	CAPITULO	SUBCAPITULO	CODIGO	NOMBRE	UM	VALOR
Antiguo	EXCAVACIONES	EXC. CONFORMACIÓN DE SUBRASANTE	3007	REPLANTEO GENERAL	M2	1081
Antiguo	EXCAVACIONES	EXC. ESTRUCTURAS Y REDES	3009	EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0M - 2M (INCLUYE CARGUE)	M3	58471
Antiguo	DEMOLICIONES	DEMOLICIONES	3010	DEMOLICION PAVIMENTO ASFALTICO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M3	43555
Antiguo	DEMOLICIONES	DEMOLICIONES	3011	DEMOLICION MANUAL SARDINEL EXISTENTE (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	ML	8176
Antiguo	DEMOLICIONES	DEMOLICIONES	3012	DEMOLICIÓN PISOS DE CONCRETO (ESPESOR VARIABLE HASTA 0.10 M. INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M2	9583
Antiguo	REDES ELECTRICAS	RED ELECTRICA CODENSA	3015	RETIRO DE POSTES DE AP/LA (INCLUYE TRASLADO A SITIO DE ACOPIO)	UN	256334
Antiguo	TRANSPORTES Y ACARREOS	TRANSPORTES Y ACARREOS	3017	TRANSPORTE Y DISPOSICIÓN FINAL DE ESCOMBROS EN SITIO AUTORIZADO (DISTANCIA DE TRANSPORTE 21 KM). A DISTANCIA MAYOR DEL ACARREO LIBRE (90 M) EN SITIO AUTORIZADO POR LA ENTIDAD AMBIENTAL COMPETENTE.	M3	45734
Antiguo	RELLENOS Y CAPAS GRANULARES	RELLENOS EN TIERRA	3018	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)	M3	111152
Antiguo	DEMOLICIONES	DEMOLICIONES	3021	DEMOLICION PAVIMENTO ASFALTICO (ESPESOR VARIABLE. INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M2	8838
Antiguo	DEMOLICIONES	DEMOLICIONES	3022	DEMOLICIÓN PISOS DE CONCRETO (INCLUYE CARGUE). NO INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL DE SOBRANTES.	M3	64547
Antiguo	RELLENOS Y CAPAS GRANULARES	RELLENOS PARA ANDENES Y REDES	3024	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)	M3	182185
Antiguo	ANDENES Y SARDINELES	SARDINELES Y BORDILLOS	3027	SARDINEL TIPO A10 (SUMINISTRO E INSTALACIÓN. INCLUYE 3CM MORTERO 1:5)	ML	90524
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3041	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=4" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	39297
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3042	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=6" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	66044
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3043	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=8" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	91366
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3044	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=10" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	128594
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3045	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=12" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	179457
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3046	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=16" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	317101
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3047	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=18" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	430046
Antiguo	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	3048	TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=20" (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	523908
Antiguo	RELLENOS Y CAPAS GRANULARES	RELLENOS PARA ANDENES Y REDES	3050	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)	M3	48122
Antiguo	RELLENOS Y CAPAS GRANULARES	RELLENOS PARA ANDENES Y REDES	3052	RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)	M3	123218
Antiguo	REDES TELEFONICAS / DATOS	RED TELEFONICA ETB	3055	12 DUCTOS D=4" PVC-TDP (INCLUYE SUMINISTRO E INSTALACIÓN. NO INCLUYE RELLENOS)	ML	360330
Antiguo	REDES TELEFONICAS / DATOS	RED TELEFONICA ETB	3056	16 DUCTOS D=4" PVC-TDP (INCLUYE SUMINISTRO E INSTALACIÓN. NO INCLUYE RELLENOS)	ML	477849
Antiguo	REDES TELEFONICAS / DATOS	RED TELEFONICA ETB	3057	CAMARA DE INSPECCIÓN T-13 ETB (H=2.3M. INCLUYE BASE, MUROS, CUBIERTA, ARO-BASE Y ARO-TAPA)	UN	5496717
