ORIGEN	GRUPO	CODIGO	NOMBRE	UM	PRECIO
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	322	CONCRETO GRAVA COMÚN 2000 PSI 14 MPa (140 Kg/m2)	M3	564303
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	323	CONCRETO GRAVA COMÚN 2500 PSI 17 MPa (175 Kg/cm2)	M3	599299
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	324	CONCRETO GRAVA COMÚN 3000 PSI  21 MPa (210 Kg/cm2)	M3	603117
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	325	CONCRETO GRAVA COMÚN 3500 PSI 24 MPa (245 Kg/cm2)	M3	619564
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	326	CONCRETO GRAVA COMÚN 4000 PSI 28 MPa (280 Kg/cm2)	M3	637080
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	328	CONCRETO GRAVA COMÚN 5000 PSI 34 MPa (350 Kg/cm2)	M3	663148
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	333	CONCRETO GRAVA FINA 3000 PSI 21 MPa (210 Kg/cm2)	M3	616932
Demanda	CONCRETOS Y MORTEROS PREMEZCLADOS	366	MORTERO 2000 PSI 14 MPa (140 Kg/cm2)	M3	724353
Demanda	EQUIPO PESADO	1505	COMPACTADOR DE LLANTAS - MASA SIN LASTRES DE 9 A 11 TONELADAS - INCLUYE OPERARIO Y COMBUSTIBLE	HR	196044
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	1512	GRAMA	M2	19722
Demanda	FORMALETAS, ANDAMIOS Y ACCESORIOS	1515	FORMALETA METÁLICA SARDINEL	ML/DI	1131
Demanda	MALLAS Y ACEROS PARA REFUERZO	1794	ALAMBRE RECOCIDO No.18	KG	5711
Demanda	LADRILLOS, BLOQUES Y ADOQUINES	2273	LADRILLO TOLETE RECOCIDO 24x12x6	UN	1050
Demanda	AGREGADOS PÉTREOS, BASES Y SUBBASES GRANULARES	2307	ARENA DE PEÑA	M3	82110
Demanda	AGREGADOS PÉTREOS, BASES Y SUBBASES GRANULARES	2308	ARENA DE RIO	M3	133130
Demanda	MARCOS, TAPAS, REJILLAS, HERRAJES Y CAJILLAS	2551	MARCO Y TAPA PARA CAJA DE INSPECCIÓN 0.5x0.5m	UN	224910
Demanda	LADRILLOS, BLOQUES Y ADOQUINES	2798	LADRILLO TOLETE COMUN	UN	850
Demanda	AGREGADOS PÉTREOS, BASES Y SUBBASES GRANULARES	2910	RECEBO COMUN	M3	11900
Demanda	FORMALETAS, ANDAMIOS Y ACCESORIOS	3386	FORMALETA MADERA (CAMILLA  0.73x1.4m, CRUCETA, CERCHA, PARAL CORTO)	M2/MES	12964
Demanda	FORMALETAS, ANDAMIOS Y ACCESORIOS	3995	FORMALETA MADERA PARA TAPAS-CAJAS Y CAMARAS	M2	30615
Demanda	DUCTOS PVC - ELECTRICOS/TELEFONICOS TIPO TDP-DB-EB	4513	DUCTO TELEFONICO LIVIANO PVC TIPO EB D=3"	ML	16925
Demanda	DUCTOS PVC - ELECTRICOS/TELEFONICOS TIPO TDP-DB-EB	4514	DUCTO TELEFONICO LIVIANO PVC TIPO EB D=4"	ML	29139
Demanda	DUCTOS PVC - ELECTRICOS/TELEFONICOS TIPO TDP-DB-EB	4520	DUCTO PVC TIPO TDP D=3"	ML	24074
Demanda	DUCTOS PVC - ELECTRICOS/TELEFONICOS TIPO TDP-DB-EB	4521	DUCTO PVC TIPO TDP D=4"	ML	28524
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	4594	CODO G.RAD. PVC U.M. 90° D=2" RDE 21. NORMA NTC 382	UN	88599
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	4596	CODO G.RAD. PVC U.M. 90° D=4" RDE 21. NORMA NTC 382	UN	176735
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	4598	CODO G.RAD. PVC U.M. 90° D=8" RDE 21. NORMA NTC 382	UN	1323832
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	4600	CODO G.RAD. PVC U.M. 90° D=12" RDE 21. NORMA NTC 382	UN	3907698
Demanda	TUBERIAS Y ACCESORIOS DE PVC - ACUEDUCTO	4608	UNION PVC U.M. D=2". NORMA NTC 382	UN	42792
