CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	LOTEO FINAL	0	0	0	REDMENOR_ACUEDPROY
INSERT	A Tee	83632.609	95024.984	0.9217	0
INSERT	A Tee	83629.85	95021.348	4.0642	0
INSERT	VCP	83541.415	95563.033	3.5885	ACUEDPROYECTO
INSERT	VRP	82934.041	95517.396	0.0005	0
INSERT	VRP	82905.561	95579.146	0.0005	0
INSERT	VCP	82636.182	95719.235	5.5767	ACUEDPROYECTO
INSERT	VCP	82883.882	95558.73	5.1289	ACUEDPROYECTO
INSERT	VCP	82827.384	95631.73	5.5112	ACUEDPROYECTO
INSERT	Valvula HIDRANTE	83442.589	95950.687	1.1876	0
INSERT	VENTOSA	83425.424	95391.344	1.982	VENTOSA-PROY
INSERT	A Tee	83425.419	95391.337	5.5914	0
INSERT	VENTOSA	83380.738	95232.073	1.982	VENTOSA-PROY
INSERT	A Tee	83380.733	95232.067	5.5914	0
INSERT	VENTOSA	82406.795	95410.546	3.5476	VENTOSA-PROY
INSERT	A Tee	82406.795	95410.546	0.8734	0
INSERT	VENTOSA	83179.912	95268.959	3.5528	VENTOSA-PROY
INSERT	A Tee	83179.918	95268.954	0.879	0
INSERT	VALVULA PROY	83077.642	95148.391	2.4533	0
INSERT	VALVULA PROY	83112.177	95433.349	4.0049	0
INSERT	VENTOSA	82961.138	95345.398	1.9768	VENTOSA-PROY
INSERT	A Tee	82961.138	95345.398	5.5858	0
INSERT	VALVULA PROY	82909.129	95378.754	5.9724	0
INSERT	VALVULA PROY	82883.119	95387.116	6.052	0
INSERT	VENTOSA	82804.088	95214.126	3.545	VENTOSA-PROY
INSERT	A Tee	82804.088	95214.126	0.8708	0
INSERT	VALVULA PROY	83504.533	95718.514	1.4804	ACUEDPROYECTO
INSERT	VENTOSA	83335.302	95536.94	2.7192	VENTOSA-PROY
INSERT	A Tee	83335.296	95536.94	0.0187	0
INSERT	VENTOSA	83345.385	95582.39	2.7192	VENTOSA-PROY
INSERT	A Tee	83345.379	95582.39	0.0187	0
INSERT	VENTOSA	83363.573	95784.819	4.0353	VENTOSA-PROY
INSERT	A Tee	83363.571	95784.813	1.3348	0
