NOMBRE	X	Y	ATTS
LOTEO FINAL	0	0	
A Tee	83632.609	95024.984	NODO=479;DIAM=12x12;
A Tee	83629.85	95021.348	NODO=480;DIAM=12x4;
VCP	83541.415	95563.033	NODO=241B;DIAMETRO=8;
VRP	82934.041	95517.396	NODO=;DIAMETRO=;
VRP	82905.561	95579.146	NODO=;DIAMETRO=;
VCP	82636.182	95719.235	NODO=281;DIAMETRO=8;
VCP	82883.882	95558.73	NODO=230A;DIAMETRO=12;
VCP	82827.384	95631.73	NODO=241B;DIAMETRO=8;
Valvula HIDRANTE	83442.589	95950.687	NODO=171;DIAM=4;
VENTOSA	83425.424	95391.344	
A Tee	83425.419	95391.337	NODO=676;DIAM=6x4;
VENTOSA	83380.738	95232.073	
A Tee	83380.733	95232.067	NODO=677;DIAM=12x4;
VENTOSA	82406.795	95410.546	
A Tee	82406.795	95410.546	NODO=320;DIAM=12x4;
VENTOSA	83179.912	95268.959	
A Tee	83179.918	95268.954	NODO=673;DIAM=12x4;
VALVULA PROY	83077.642	95148.391	NODO=675;DIAMETRO=12;
VALVULA PROY	83112.177	95433.349	NODO=669;DIAMETRO=8;
VENTOSA	82961.138	95345.398	
A Tee	82961.138	95345.398	NODO=672;DIAM=12x4;
VALVULA PROY	82909.129	95378.754	NODO=671;DIAMETRO=6;
VALVULA PROY	82883.119	95387.116	NODO=670;DIAMETRO=6;
VENTOSA	82804.088	95214.126	
A Tee	82804.088	95214.126	NODO=674;DIAM=6x4;
VALVULA PROY	83504.533	95718.514	NODO=67A;DIAMETRO=6;
VENTOSA	83335.302	95536.94	
A Tee	83335.296	95536.94	NODO=667;DIAM=12x4;
VENTOSA	83345.385	95582.39	
A Tee	83345.379	95582.39	NODO=39A;DIAM=8x4;
VENTOSA	83363.573	95784.819	
A Tee	83363.571	95784.813	NODO=665;DIAM=6x4;
_None	82888.126	95930.418	
_None	82877.53	95930.418	
_None	82743.611	95783.357	
VENTOSA	82981.331	95805.534	
A Tee	82981.331	95805.534	NODO=254;DIAM=12x4;
VALVULA PROY	82995.62	95815.35	NODO=256;DIAMETRO=8;
VENTOSA	83098.006	95577.93	
A Tee	83098.006	95577.93	NODO=7A;DIAM=12x4;
VENTOSA	83098.411	95532.456	
A Tee	83098.411	95532.456	NODO=261A;DIAM=12x4;
VALVULA PROY	82893.877	95647.659	NODO=343A;DIAMETRO=6;
VALVULA PROY	82698.477	95743.277	NODO=355A;DIAMETRO=8;
VALVULA PROY	83342.622	95926.428	NODO=659;DIAMETRO=8;
VALVULA PROY	83327.988	95944.435	NODO=658;DIAMETRO=8;
VALVULA PROY	83314.116	95955.354	NODO=657;DIAMETRO=4;
VENTOSA	83422.619	96010.699	
A Tee	83422.614	96010.696	NODO=656;DIAM=8x4;
VALVULA PROY	83420.518	95920.32	NODO=660;DIAMETRO=6;
VALVULA PROY	83586.413	96042.74	NODO=661;DIAMETRO=8;
VALVULA PROY	83584.117	96045.153	NODO=662;DIAMETRO=8;
VALVULA PROY	83587.828	96239.984	NODO=663;DIAMETRO=6;
VENTOSA	83595.355	96247.397	
A Tee	83595.353	96247.392	NODO=664;DIAM=6x4;
A Hidrante	83588.508	95705.82	NODO=70;DIAM=4;
Valvula HIDRANTE	83588.696	95707.7	NODO=69;DIAM=4;
A Hidrante	83143.233	95068.643	NODO=601;DIAM=4;
Valvula HIDRANTE	83144.436	95070.099	NODO=600;DIAM=4;
A Hidrante	83108.442	95213.764	NODO=632;DIAM=4;
Valvula HIDRANTE	83109.645	95215.221	NODO=631;DIAM=4;
A Hidrante	82893.258	95486.161	NODO=365;DIAM=4;
